">= pl_TermDays",">= pl_TermMonths","Coefficient"
"0","0","0"
"5","0","0,1"
"10","0","0,14"
"15","0","0,16"
"366","1","0,2"
"366","10","0,9"
"366","11","0,95"
"366","12","1"
"366","2","0,3"
"366","3","0,4"
"366","4","0,5"
"366","5","0,6"
"366","6","0,7"
"366","7","0,75"
"366","8","0,8"
"366","9","0,85"
"999999","999999","0"
